symbol,date,quality_score
CL,2013-12-31,0.5952973156463843
CL,2014-12-31,0.6585434819670446
CL,2015-12-31,0.8213256502641034
CLX,2013-06-30,0.796823405512288
CLX,2014-06-30,0.8087238362623674
CLX,2015-06-30,0.9020833494402316
CLX,2016-06-30,0.7305783029817922
CMA,2013-12-31,0.3938760970323308
CMA,2014-12-31,0.4513334552771857
CMA,2015-12-31,0.715995230226332
CMA,2016-12-31,0.41920785824607065
CME,2012-12-31,0.42580259876505067
CME,2013-12-31,0.44989362493155743
CME,2014-12-31,0.47121326379842376
CME,2015-12-31,0.7299227760347491
CMG,2013-12-31,0.7180324279386601
CMG,2014-12-31,0.78090500128831
CMG,2015-12-31,0.9083829791035026
CMG,2016-12-31,0.5526786038162697
CMI,2013-12-31,0.5313241123458315
CMI,2014-12-31,0.5836185315560739
CMI,2015-12-31,0.7822797396616146
CMI,2016-12-31,0.4723034336584133
CMS,2013-12-31,0.45523412342089986
CMS,2014-12-31,0.5078305318918238
CMS,2015-12-31,0.736333382090063
CMS,2016-12-31,0.4546402929423502
CNC,2012-12-31,0.4202277474515174
CNC,2013-12-31,0.5231982059942054
CNC,2014-12-31,0.4614154788541474
CNC,2015-12-31,0.7947276150917314
CNP,2012-12-31,0.4207159288235088
CNP,2013-12-31,0.47753844409292406
CNP,2014-12-31,0.49287549792917484
CNP,2015-12-31,0.7486965713060709
COF,2012-12-31,0.37394799998383327
COF,2013-12-31,0.43498135042512853
COF,2014-12-31,0.44765741624579464
COF,2015-12-31,0.7138026664964363
COG,2012-12-31,0.4484709833622733
COG,2013-12-31,0.5347531450152381
COG,2014-12-31,0.48037007048977626
COG,2015-12-31,0.6962045384643315
COL,2013-09-30,0.5921900001083766
COL,2014-09-30,0.32958443068323184
COL,2015-09-30,0.6001979400070697
COL,2016-09-30,0.3957374494654922
COO,2013-10-31,0.6666666633304162
COO,2014-10-31,0.7971884699064232
COO,2015-10-31,0.3660712812015226
COO,2016-10-31,0.41145147156542305
COST,2013-09-01,0.3333333333333333
COST,2014-08-31,9.719185126155772e-08
COST,2015-08-30,0.25
COST,2016-08-28,0.25
COTY,2003-06-30,0.3333333333333333
COTY,2004-06-30,0.25
COTY,2006-02-28,0.25
COTY,2007-02-28,0.25
CPB,2013-07-28,0.3333333333333333
CPB,2014-08-03,0.25
CPB,2015-08-02,0.25
CPB,2016-07-31,0.1299103377117527
CRM,2013-01-31,0.08149073480790137
CRM,2014-01-31,0.05843096694207712
CRM,2015-01-31,0.16538721437802986
CRM,2016-01-31,0.17230155038943756
CSCO,2013-07-27,0.3333333333333333
CSCO,2014-07-26,0.25
